source,author,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41686215b#Expression,Cervantès. Don Quijote de la Manche,,Toulouse,[s.d.],http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb466173540#Expression,Maris dupés,,Lyon,2020,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb466173540#Expression,Maris dupés,,Lyon,2020,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213058z#Expression,"Histoire de l'admirable Don Quichotte de la Manche, traduite de l'espagnol de Michel de Cervantès (par Filleau de Saint-Martin). - Continuation de l'histoire de l'admirable Don Quichotte de la Manche... (traduite par G. de Chasles.)",,Amsterdam,1735,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213129n#Expression,"Les Principales avantures de l'admirable Don Quichotte, représentées en figures par Coypel, Picart le Romain et autres habiles maîtres, avec les explications des 31 planches de cette magnifique collection tirées de l'original espagnol de Miguel de Cervantès",,Liège,1776,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb350544512#Expression,L'ingénieux hidalgo Don Quichotte de la Manche Deuxième partie,,Toulouse. - Paris,1926/1927,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb45183355t#Expression,El Quijote universal : 150 traducciones en el IV Centenario de la muerte de Miguel de Cervantes,,Madrid,2016,http://id.loc.gov/vocabulary/iso639-2/mul
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb47199234h#Expression,L'ingénieux Hidalgo Don Quichotte de la Manche (Première partie),,Paris,2022,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb302131405#Expression,L'ingénieux hidalgo Don Quichotte de la Manche,,Paris,1887,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb319212426#Expression,Histoire de l'admirable don Quichotte de la Manche,,Paris,1909,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921280r#Expression,Miguel de Cervantès. Don Quichotte de la Manche,,"(Paris,) Delagrave. - (Sceaux, Impr. de Sceaux)",1957,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb34819935t#Expression,Los Baños de Argel,,Madrid,1984,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921348j#Expression,Miguel Cervantes. Quelques aventures de Don Quichotte de la Manche,,"Paris, Librairie Istra (Impr. française de musique et reproduction photomécanique)",1950,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921174j#Expression,Cervantes,,"Paris, A. Quillet. - (Montpellier, impr. des ""Dernières nouvelles de Strasbourg"")",1948,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921201m#Expression,"La ilustre Fregona ; el Licenciado Vidriera, two of the Novelas ejemplares of Miguel de Cervantes Saavedra. Edited with introduction and notes by F. A. Kirkpatrick,...",,"Cambridge, the University Press",1909,http://id.loc.gov/vocabulary/iso639-2/eng
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213009r#Expression,"El Ingenioso hidalgo Don Quijote de la Mancha, compuesto por Miguel Cervántes Saavedra. Nueva edicion adornada con láminas en cobra...",,Madrid,1862/1863,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb32945638k#Expression,"Dessin de Maurice Albe. ""La Guerra dels ases""",,Bordeaux,1957,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb373876910#Expression,El ingenioso hidalgo Don Quijote de la Mancha,,Madrid,1979,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb40361410w#Expression,Quijote del Centenario. El ingenioso hidalgo Don Quijote de la Mancha,,Madrid,1905/1908,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921171h#Expression,Obras escogidas de Cervántes. Novelas ejemplares. La Gitanilla ; el amante liberal ; Rinconete y Cortadillo ; la Española inglesa ; el licenciado vidriera ; la fuerza de la sangre ; el celoso extremeño ; la ilustre fregona ; las dos Doncellas ; la señora Cornelia ; el Casamiento engañoso y Coloquio de los perros ; la tia fiugida,,"Paris, Garnier Hernaud",1898,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921193t#Expression,Cervantès. L'Espagnole anglaise [la Española inglesa]...,,"Paris, H. Gautier",1895,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb37387359p#Expression,Entremeses,,Madrid,1992,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213006q#Expression,El Ingenioso hidalgo Don Quijote de la Mancha. Nueva edicion corregida... por don Eugenio de Ochoa,,Besançon,1867,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb339881513#Expression,Vida y Hechos del ingenioso don Quixote de la Mancha,,Haia,1744,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb34343518f#Expression,Don Quichotte : l'ingénieux hidalgo de la Manche,,Paris,1994,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb39171671n#Expression,Les folles aventures de don Quichotte,,Paris,2004,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213226w#Expression,"Les Nouvelles de Miguel de Cervantes Saavedra... Traduictes d'espagnol en françois, les six premières par F. de Rosset, et les autres six par le Sr d'Audiguier. Avec l'histoire de Ruis Dias et de Quixaire, princesse des Moluques, composée par le Sr de Bellan",,Paris,1620/1621,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921268w#Expression,Miguel de Cervantes. L'Ingénieux chevalier Don Quichotte de la Manche,,"Paris, G. Le Prat (impr. de Brodard et Taupin)",1946,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb33988153s#Expression,"Nouvelles exemplaires de Michel de Cervantès Saavedra, auteur de don Quichotte",,Lausanne,1759,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb39336771n#Expression,Six nouvelles de M. de Cervantes par le Sr d' Audiguier,,Paris,1621,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41631293w#Expression,Miguel de Cervantes. Don Quichotte,,Paris,1958,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921334v#Expression,Don Quichotte de la Manche,,Paris,1909,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb35201199t#Expression,"Die Ersten romanischen und germanischen Übersetzungen des «Don Quijote» : 1. Teil, 16., Kapitel",,Bern,1974,http://id.loc.gov/vocabulary/iso639-2/ger
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41464409q#Expression,Don Quichotte de la Manche,,[Paris],2009,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb42286970v#Expression,Don Quijote de la Mancha,,[Toledo],2005,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213102m#Expression,"L'Ingénieux hidalgo Don Quichotte de la Manche, par Michel de Cervantès Saavedra. Traduction de Delaunay, revue, corrigée et augmentée d'une notice sur la vie de Cervantès par Adrien Grimaux",,Paris,1891,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb35227661c#Expression,El Rufián dichoso,,Madrid,1975,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb375459806#Expression,Flor de aforismos peregrinos,,Barcelona,1995,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921165k#Expression,Obras completas...,,"Madrid, imprenta de Manuel Rivadeneyra. In-4°",1863/1864,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921360d#Expression,"Novelas ejemplares de Miguel de Cervantes Saavedra. Edicion de la real Academia hispano-americana de Cádiz, prólogo de doña Blanca de los Rios",,"Cádiz, impr. de M. Alvarez",1916,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30212972r#Expression,"Vida y hechos del ingenioso cavallero Don Quixote de la Mancha, compuesta por Miguel de Cervántes Saavedra. Parte 1ra (y 2a). Nueva edicion...",,Amberes,1719,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921214z#Expression,"El ingenioso ...daigo don Quijote de la Mancha, compuesto por Miguel de Cervantes Saavedra. Nueva edición, con nuevo anàlisis y con la vida del autor, publicada por D. Juan Antonio Pellicer,... en 1797",,"Madrid, impr. de los hijos de M. G. Hernándes",1905,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb37155950s#Expression,El ingenioso hidalgo Don Quijote de La Mancha,,Madrid,1952,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb302129586#Expression,El ingenioso hidalgo Don Quixote de la Mancha,,Madrid,1605,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921322v#Expression,Don Quichotte de la Manche,,"Paris, F. Nathan. - (Nancy, impr. Berger-Levrault)",1956,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb361667589#Expression,L'ingénieux hidalgo Don Quichotte de la Manche,,Paris,1996,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213217x#Expression,Novelas exemplares de Miguel de Cervántes Saavedra... Nueva impresion...,,Perpiñan,1816,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921247x#Expression,Histoire de Don Quichotte de la Manche,,Paris,1912,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb32945614k#Expression,Miguel de Cervantès Saavedra. L'Ingénieux hidalgo Don Quichotte de la Manche,,Paris,1961,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb31921262t#Expression,Don Quichotte de la Manche,,Paris,1935,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213048n#Expression,"Le Valeureux Dom Quixote de la Manche... traduit fidellement de l'espagnol de Michel de Cervantès... par Caesar Oudin,... T. I (1re partie). - L'Histoire de l'ingénieux et redoutable chevalier Dom Quixote de la Manche, composée en espagnol par Miguel de Cervantès Saavedra et traduite... par F. de Rosset. T. II (2e partie)",,Rouen,1646,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213057m#Expression,"Histoire de l'admirable Don Quichotte de la Manche, traduite de l'espagnol de Michel de Cervantès (par Filleau de Saint-Martin). - Continuation de l'histoire de l'admirable Don Quichotte de la Manche... (traduite par G. de Chasles.)",,Lyon,1723,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213093g#Expression,Don Quichotte,,Paris,1892/1898,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb386947844#Expression,"Numance, tragédie [traduite de l'espagnol par M. Esménard]",,[S. l.],1884,http://id.loc.gov/vocabulary/iso639-2/fre
