source,author,authorLabel,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800231,[Paris],[2000],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800234,[Paris],[2001],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX1924290,La cueva de Salamanca,https://datos.bne.es/resource/a5160535,[Sagunto],imp. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029112,Amsterdam,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029112,et a Leipzig,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000011708,Madrid,D.L. 1987,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000030269,Madrid,1986,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001382437,Barcelona,[1999],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000052385,Madrid,1987,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000413395,Barcelona,D.L. 1994,http://id.loc.gov/vocabulary/languages/spa
